,text,labels
1945, think camera show anywaythe c bc fam appreciation like,0
1946,yeah,1
1947, time go twitter since working full time,1
1948, problem unfortunately think something sort,1
1949, still sick sigh,0
1950,wood fight good vicky,1
1951, two hilaaaaarious love venue,1
1952, life,0
1953,paid bills get water electricity another month wood,1
1954,10pm tonight international space station head texas least,1
1955, woke morning didnt want leave bed,1
1956,done going home eat contemplate night holds,1
1957,feels accomplished got lot done today,1
1958,16 days start moving,1
1959,something strange air lately setting everyone edge going good studying house good anyway,1
1960,omgggg hawaii thats amazing wan na live,1
1961, forgot set itunes display play count last night didnt understand taylor swift front behind haha,1
1962,body glue,1
1963,alkaline trio sweet saves day sucked great time anyways awesome seeing everybody hanging,1
1964,im way see 17 ive wanted see long time,1
1965, absolutely love kill bill vol 1 think lucy liu soon gorgeous,1
1966,byspork haha like anyway although miss sport pic go,1
1967,okay clean teeth,1
1968,well im gon na go goodbye,1
1969, going paris,1
1970, miss jokes making fun ppl throwing ideas songs movies shows eachother never go away,0
1971,thats,1
1972,also app tar ars day,1
1973,good morning twitterville work chat u later,1
1974, also make space computer game dont meet minimum requirements sims 3 moment,1
1975,ill keep mind decide add lt leg west coast stint june,1
1976, san antonio missions game witnessing huge crowd meaning slow game,1
1977,well hate leave must sleep night hope chat later enjoy lil night owls,1
1978,found great places might play safer wait 2 years till car paid,1
1979, want ot protect moleskineï¿½ notebooks worldwide,1
1980,got go shopping wife tests knew day going well,1
1981,morning appear bit sore head perhaps bag pork scratching dinner wasnt good idea,0
1982,2008 dont sorry race charity fun one fun,1
1983,haha didnt see facebook 24 mac pic feel extra jealous local,0
1984,cant wait love scripts honestly future career script writer stock twins,1
1985,hey sorry late replybut plan posting facebook twitpic,0
1986,made little cover iphone birds arent upside back,1
1987,followfriday thank im still even close,1
1988,please check wwwmysweetebonycom lk think first paste post site,1
1989,work splendid,1
1990,done bump back bed seemingly unable muster energy get sunday great,1
1991, pool orlando got new kicks going refworld tomorrow miss best friend,0
1992,x ive got essay plan written looking couple references ill get writing,1
1993,father staying home conference calling sorry,0
1994, sinks hospital toilets low grey suit scattered water time physics,0
1995,nl w justin timberlake,1
1996, like crazy witty humor,1
1997, paid 221mo dedicated server would rather get slice using sql,1
1998,well best luck,1
1999,yeah fun today regret taking cup awesome must find one like,1
2000,going eat rice fried chicken sederhana padding restaurant dummy,1
2001, dont even ii b likes xbox thats use,1
2002,ughhhh sad day,0
2003,wishing sunny day might bothered get bed blues,0
2004,wishes realized wife held onto debit card took long walk get lunch gr,0
2005, spoilt like 10 11 hard put front 14m people really young,0
2006,adafranco working woo hoo alas unable obtain elite1 daughter 80,1
2007,thats great news,1
2008,school guy like talking girl cant stand ppl soooughhhh,0
2009, already feel hang soon worth,1
2010,cleaning time soon,1
2011,hell 3 july im soo stored especially since sleeps us ol refuses wear papers anymore,1
2012,low low low low low low low low low,1
2013,monk neither lp,1
2014,henrik would still rather shoes instead bed bc work 109 tomorrow love cold weather,1
2015, malware work px miss dept,0
2016,eeeeee dear finally found,1
2017, study talk later,1
2018, knew horse called dollar,1
2019, still got going,1
2020,cant wait live ages away still plan im going wear lol,1
2021,starbucks mother,1
2022,im leave early go piccolo practice,1
2023,ah getting still fair bit go coming together fairly well aw,1
2024, know call duty scenario game called nazi zombies awesome scary time,1
2025,lol whispering dont get trouble almost 30 feels great home feeling like kids,1
2026,looks great love way bottom,1
2027,writing first tweet,1
2028, wondering going put one many itunes hope cd dont,1
2029, know thx ill ok,1
2030, discovered painful suburb right holder hopefully turns tan,1
2031, thanks,1
2032,diff working weekend,1
2033,ok thats sleep time,1
2034,nice start holiday,1
2035,took 2 times get wall killed 150 lb dummy cant drag 12 seconds,0
2036, accidentally slammed finger trunk,0
2037, lock getting better staying,1
2038,oh totally want see star trek kristine already seen hobby,1
2039, think found cant play,1
2040,finally shifted third tweetdeck filter close friends updates happy monday keeps,1
2041, must morrison,0
2042,,0
2043,nooooo hate traffic,0
2044, miss,0
2045, sorry missed tweet nice long chat across border pastel want recipe email,0
2046,cupcakes gave heartburn,0
2047,jumping im shower long day work shall feel amazing ath,1
2048, got followers like 2 someone follow please,1
2049,09 ii gr ooh maiden lol x,1
2050,voodoo procrastinating work going lunch wait sister though dang,1
2051,pandora blocked work summed,0
2052, never cease maze,1
2053,lick sounds like need week digital demo,1
2054, say look dummy want taste im human sandwich mfa makes,1
2055, need somewhere new,1
2056, panasonic chargersorry,0
2057,ill back home monday,1
2058,thats much better flu syndrome,1
2059, pro sexy site,1
2060,hate skin anybody want give another job haha,1
2061,johnny actually invited movies many things concert,1
2062, day soo stressful gene lunch blast tho guys,1
2063, lisa sorta quiet im usa gon na crash soon,1
2064,25 years left dell kc last time geek girl waited cry got car love,1
2065, windows open cold haha,1
2066,jay oh know budgeting,1
2067, would wasnt working today,1
2068, favourite photo took last night cant wait see pics,1
2069,ive got urge make music like massively im going studio,1
2070, email em email gave u awesome person,1
2071,happy mothers day everyone great day make sure go see ya commas,1
2072,trance drumnbass awesome working dances,1
2073,mg havana thought joking wintering haha awesome good times,1
2074, wish could buy blink 182 resale tickets totally dont money right guess wait general admission,1
2075, got back party soon much fun boom boom pow haha ooh told mom happy mothers day,1
2076,art history quiz didnt study,1
2077, welsh name,1
2078, one day week 60hrs compensate,1
2079,husband going toddler shall erotic consummate mama im happy day,1
2080,yay happy mothers day screw burnt breakfast bed ill take e erniehalter live,1
2081,long hot weather forecast rest week summer almost eeeeee,1
2082,aaaaaa get see looking forward cupcakes fun,1
2083,box oh god everyone dying mainly justin depressing,0
2084, alone disbelief quite happy evolution beats alternatives posited,1
2085,haha better life go get drinks soon jury duty boring,1
2086, know got ta wait earl 2010 think late 2009 wrong,0
2087,moment fly car,1
2088,watkins oh josh ian always miss,0
2089,good morning im woke mothers day,1
2090,painting nails green attempt look like army person annoyed everyone seems tan apart reckless suburb,0
2091,goodmorning fathers going ballistic id say id rather get beat good day please text,1
2092,per ben fw proud guys,1
2093,fieldnotes ordered 8th still havent arrived 3 weeks still books,0
2094,watching jon kate plus 8cant believe theyre divorcing,0
2095, work man bad job whole team want leave believe would make money wasnt,0
2096,oh sure get everything live like celebrities,1
2097, know lots emails answer home tomorrow,1
2098, poor wife im laid another 6 hours doctors orders cant much dealing screaming baby,0
2099, good cholesterol good tumors,1
2100, tease cant wait til sunday nothing november oh well wait,1
2101,loaded box recycle stuff salvation armybut took corner fasteverything backmight recycle dump,1
2102,got ta love im waking home minute dangggg pray mr im jump,1
2103,looks like procurement email address office mate blacklisted asking whitelist,0
2104,well ya please send living im sensing deep fiery anger surrounding presence right,1
2105, got home work looking forward tomorrow morning oh tomorrow night great,1
2106, know feeling little depressing,0
2107,feeling like romeo juliet bryant wallinwood montague capsules fb,1
2108,schulz lucky u park maybe short period really stuff done wed,1
2109,lucky day far hope gets better,1
2110, hot weather freezing oz moment miss summer,0
2111,im glad called cause relationship clear happy hear voices eventhough hes absent school,1
2112,uhoooh throat scratch,0
2113,man wont home co host blair,0
2114,haha yeah constant,1
2115,didnt demos hopefully day doesnt suck,1
2116, see christoph please tell lunch packed morning left fridge,1
2117, would like yesterday talked also stone xd benton sent private message comment,1
2118,haha wont tell,1
2119,ughhhhhhhhhhhh,0
2120, got much gray hair sudden ordered garner boasted coffee drugstorecom well see goes,1
2121, dont know gon na lame friday maybe see besides,1
2122,guez u obvious,1
2123, may suggest,1
2124,lmfaaoooo watched pink videoyou know well love itsoooo lol,1
2125,lol thats hobby think wives nuts,0
2126,apparently even novel moonlight doesnt work county,0
2127,people mustache get super powers mustache fair,0
2128,got three shots today cant lift arms,1
2129,bad day got worse,0
2130, woke im starving,1
2131, reason corona light tastes much better alone,1
2132,let right one apparently drag hell also horrible cat nastiness,1
2133,happy mothers day okseriouslygood night,1
2134,trying recover photos problem windows xd card result shots half visible microsoft,0
2135,well,1
2136,ï¿½anisalovesu upsetespecially fear wont get jared hug tomorrow,1
2137,wish could listen im canada website wont let,0
2138, yet would like know okay mum ask mum hopefully gon na tell us soon,1
2139, guess interested,0
2140, hate funerals,0
2141, sun melbourne happy mothers day sums,1
2142, dont know means sorry,0
2143,saw walking back starbucks orange beetle,1
2144,ol yea know im almost done semester week yay,1
2145, got back grandparents surprise 60th anniversary party voodoo much fun,1
2146, early,1
2147, wish blog working properly great followfriday blog post wanted showcase,1
2148,mmmm sounds tasty spaced rum earlier yummmmmyyyy also herbs always good although better shared,1
2149,oh opera 10 google friendly weeks,0
2150,well another family chosen child interviewed back looking another kid,1
2151,58 also like asian ke pair shaard,1
2152,hates breech missed black outfit,0
2153, spent whole dream cooking delicious meal woke got try,1
2154, ship landed,1
2155,kyle make fart noises admit,1
2156,hope schools gon na good tomorrow,1
2157,watching movie 1984 book report im lazy read,1
2158, going see wolverine lil bit excited,1
2159, feel like cause couldnt sleep last night went sleep 320 n bk 6 soon tired,0
2160,bet sexy added u myspace,1
2161, dyed hair,1
2162, mean monday take test monday please please,1
2163, need blackberry,0
2164,found book starting real paperbound journal tonight annoying lip makes look like herpes,0
2165,fantastic day sun,1
2166, like mine green somehow doesnt taste mint otherwise heh heh,1
2167,scratch scratch throat warm fluids needed,0
2168, sweet saw last year kenny sugarcane kenny year seen b4 love knight,1
2169, got followed one says doesnt talk god people wonder talks goddess people,1
2170, sober promiss styoopid flying hazzunt ku game iz hyding sumware larffing us,1
2171,would like june nineteenth hurry self waiting impatient see wes carr,0
2172,sometimes hate thats normal dont worry bout,1
2173,crow morning,1
2174, welcome,1
2175,thanks,1
2176, dog dodgy park,1
2177,nice capture,1
2178,yaaaawwwwnnnn thx bank holiday lets see today prepared us,1
2179,lol,1
2180, youve ever seen way uses browser probably like 5 copies running,1
2181,trying go sleep luck think im sick,0
2182,next song axed opera mai fï¿½ ï¿½ large ï¿½ hï¿½ndel,1
2183,im hungrydue last nights dinner lack someone take care,1
2184,654 damp weather,0
2185, cba orwell might play another inhabit,1
2186, cool,1
2187,new work wellness challenge going well committed check email 10 pm 6 failed first day twice,0
2188,good morning tweets monday got way soon hope good one least good get monday,1
2189, finally done editing friendster account haha oh guez im hungry,0
2190,tries person something common ol jk,1
2191, youre flying z wwwhotconz great way get results aggregate,1
2192,toast morning,1
2193, really sucks feel bad least woke eight,0
2194,im sure mean blown joint rb lol lol good one,1
2195,hahaooh gorgeous whole weekend follow sisters shoes yesterday,1
2196,played mythic brawl order get good screenshot instead got perfection,1
2197, wan na go car,1
2198, find tune sexy smooth lovely day,1
2199,thank twittertakeover,1
2200,band work need laptop buy one ill drive shifts forever,1
2201, 4 thee follow,1
2202,surprised mom cake present mothers day dad bought flowers,1
2203, highnesscrystalmariedontluvspiteanymore,1
2204,thanks people added style want add name twitter name name blog etc,1
2205,wasssup cocoliciousness knew u didnt recognize ur daughter,1
2206, 21month daughters separation anxiety intense killing cant leave sight without breaking anxiety attack,0
2207, forgot already ate lunch guess im going,1
2208,yeah know man,1
2209,gmail,1
2210,fm dad didnt leave money 2 wait till gets home call finish work,1
2211, humor isnt right everyone respond better entrez ask remy much longterm testing done,1
2212,nothing yet,1
2213,officially apt learned stuff crazy neighbors used live across hallscary,0
2214,c ive sorted operating system apps seperate 60gb drive,1
2215, gone estimation,1
2216,oh also friends really sucks always around,0
2217,dude miss 90s btw name mix damn man save 90s haha,0
2218, shame body waste,0
2219, looking weekend invading,1
2220, realize young advanced happy birthday stefan mtfbwy always,1
2221,sitting watching britains got f talent watched small girl cry sad,0
2222,oh oprah jumped front,0
2223,sleeping sleeping 8am know 3 kids,1
2224, cause give reason assume,1
2225,thank much nice happy hear voice youve really started something good xo,1
2226,moment truth im nervous,1
2227,1000 make sure word poo balls underbelly os suck balls gave wk 3,0
2228,ooh good thank heads bro,1
2229, agree crazy worth block let twitter police know harrassment,0
2230,needs job bal,0
2231,wow difficult,0
2232, think studying really started taking toll,0
2233, couple hours got sun burn really uncomfortable,0
2234,missing baby ducks,0
2235,hours refusal upon realisation tomorrow morrissey gig bristol postponed looking fwd 6 monthsish,1
2236, hate dryer,0
2237,lambert fans outside wish could vote adam,1
2238, slowly getting followers vry slowly,1
2239, really gone chiropractic week today neck hurts bad,0
2240,watching supernatural boys hunt day 3 haha,1
2241, excited camp loads people arent thrilled fact get sleep tents roll around mud,1
2242, gon na get 230 2day found im staying til 630,0
2243,yep one nights,1
2244,even though everyone wanted jewish song teacher agreed old grumpy doesnt like us happy haha,0
2245, wish well past hour bed proper migraine,0
2246, 3 teardrops,1
2247, time germany went fast 2 days left hopefully move soon,1
2248,im trying tag picture facebook already 50 tags lol,1
2249,done run 145km 1h33mn 153bpm feeling great fatigue speed,1
2250, wan na go vivid light walk,1
2251,regarding dinner american dream pizza rooftop terrace perfection got 7 pages done prospectus,1
2252, seriously needed study,1
2253,wish could go hear mint condition tomorrow night,1
2254,feeling good win nice softball champs bring season,1
2255,good morning driving work,1
2256, great time six flags yesterday summer friend spent night last night left im bored,1
2257,wow really need fun tonight,1
2258,found one knows using twitter,1
2259, dee mack talking baby almost grown,1
2260, soupysoup time today heinz cream chicken mushroom yum bbl,1
2261,boo didnt answer text,1
2262, keeps boyfriend miami,1
2263,leaving get angry tested pulled,0
2264,pearlman row love row,1
2265, harry baked love case ut line,1
2266,dude tried vegetarian thing lasted 2 months good luck going vegan intense good move though,1
2267, true sad say im glad support group,1
2268,im going miss miss ghana,0
2269, need go shopping doubt need save money,1
2270, always seem know exactly right thing say thanks youregreat,1
2271,saturday night live 3 minutes jimmy still,1
2272,make sure call mother tell much love tell love bringing world,1
2273,tpp still nw trending topics,1
2274,recorded new song today u wont hear long time might play shows tho comeeeeee,1
2275,ew used get suicides mid school mix like 5 soda together drink think remember enjoying,1
2276, fun show tonight wish could,1
2277, go near hive tame,0
2278, love nicholas braun think hell make okay cameron dont wan na see either,1
2279, em baby starts kindergarten crazy summer going,1
2280,lucky cant see tonight,1
2281,emily wish hear,1
2282, three hated words see monday,0
2283, hope till go quickly possible,1
2284, sad day beer drinking movie goers speakeasy theaters,0
2285, much pain really dont feel good eat dinner,0
2286, right 29 ive heard song time two,1
2287,home spending day catching old pals,1
2288,people cruel sometimes cant imagine star,0
2289, sack chasing shores soo character say bring back sweet superman,1
2290,logically yes find one though always seem see beside motorways cant stop,1
2291, tweet,1
2292,sick home bored want get better already enjoy college grad,0
2293,philippines tour please please please,1
2294,symphonic,1
2295,ah yay youre gon na get,1
2296, much food todays company gill want go home lay sun instead dark probably,1
2297,www didnt see till edwin left knew wanted fortune tomorrow ill make u new batch,1
2298,kinda headache,0
2299,awethank jon,1
2300,id love work tell ur friends follow,1
2301,todays line work bluetooth app brief stint university get time c4 tutorials busy bank holiday,1
2302,img watching hole steels crying painful gt,0
2303,made coffee cake mom,1
2304, sucks prints sorry,0
2305, sunny outside one go play,1
2306,achieving new appreciation xml build script really painful cumbersome,1
2307,finished cleaning desk least office looking empty almost time car 1 12 fb,1
2308,weather sucks raining,0
2309,work soonnnnnn looking ray dead today,0
2310,today first mothers day little boy hope youre beautiful mothers day,1
2311,de has0r1 put final cut pro tell stable,1
2312, know mom going monday get changed im upset,0
2313,happy morning sunshine may 4 im driving windows singing smiling wearing shoes im kirsten,1
2314, vogue model miss rachel mere,1
2315,got ta sleep work,1
2316,trent rector middle blotch doesnt get way could title,1
2317,wow person u,1
2318, miss peanut gallery,0
2319,watching aliens boogie craig rise house 11 early bedside grown ups,1
2320, clicked check pictures angelina went spam site ordering checks go figure,1
2321,blake sea water sandbox la cordova cant rez objects autoreturn 5 mins,1
2322,emily tonight xd work experience jen im going miss seeing like everyday,0
2323, feel slightly sick gt,0
2324,okay man hook hand kinda breaking right,0
2325, miss mojokins go long enough comment weekend,0
2326,learn maybe mvp year like lakers win nba title,1
2327,cant really anything,1
2328,sigh sad lonely profession,0
2329,contrast first person ive heardread say today,1
2330,cherry italian ice want get local rita twitter send daily flavors,1
2331, cute kitty,1
2332,hey guys anyone know give formulas create judoka please help,1
2333, pretty good actually lame episodes otherwise good give try,1
2334,watching family guy,1
2335,oh fair thats 9 hours,0
2336,anytime loveyou looked beautiful next time nyc hopefully link enjoy evening,1
2337, made cake mi madre im goooooddd,1
2338, going hike today,1
2339, turn back time make didnt hurt knee bad come mine never ignored,1
2340, go shower ffa distraaaaacting,0
2341,im cleaning listening fina apple birthday party cant believe im 25 already,1
2342, nice back bike commute although three days google sez called quadriceps literally screaming ga,1
2343,mothers day good,1
2344, want woosoo like plz want wait knowing shes close driving nuts,1
2345,www noon doesnt sound great,0
2346,early morning b,1
2347, one twitter driving although iphone keypad sucks driving typing,0
2348, doesnt need darn watching language thing never stops mapped u u live bodies,1
2349,missing much work cant spend time get paid lol,1
2350,lol gross theyre gross,1
2351,sorry blocked 6 hrs later im still holding ur fluffy towel dash hope u found means dry ur self,1
2352,feeling pretty good morning lets hope lasts day,1
2353, radio,1
2354,tommy hurts,0
2355,back london catching tv sleeping day,1
2356,makes sense greatfirewallofchinaorg site test whether site blocked china blocked china get others,1
2357,follow friday following people followers follow foot followfriday,1
2358,thats helpful least know youve got place secured already things dont pan fingers crossed,1
2359, u kk thanks,1
2360,www thats cute,1
2361,hi teach chinese lessons youtube feel free look wwwyoutubecomchineselearn,1
2362,recording acoustic track sexy kids,1
2363, pee,1
2364,wow 41000 nowyour really kicking carey butt competition see soon,1
2365,oh dear hope feeling better soon get nice hot chicken soup,1
2366, know loads others left,1
2367,morning,1
2368,twitter seat exam hall starts 15mins pray seat 299 ps1a blessed oh wisdom flow,1
2369,gorgeous day hash around waverley bottom wonderful name village quiz stressing porto evening,1
2370,another lake park kid going plane im unique anymore,0
2371,welcome glasgow felix sorry cant tonight,0
2372,thats thinking time gon na 1,1
2373,anyway im early night good night twitter world,1
2374,im getting treatments gon na hang pool hot stubs,0
2375,since travel quite often use online travel sites would love feedback ixigocom,1
2376,good stuff smiles back wont go concert wish could instead working music failing lol x,1
2377, fault didnt make u leave,0
2378,happy birthday sorry blank one sister messed,0
2379,appreciation lunch work good food sucks day lol,1
2380,gif rest home dayuummm expensive,0
2381, seriously want pug buy one,1
2382, finished reading chuck palahniuks pygmy kind hated im really disappointed pretty high hopes one,0
2383,played ball park coached youngster fundamentals going home steak lobster word,1
2384,googled mothers day different dates learn something new every day,1
2385,must time month catering eyes gan special voor zo find ik ze wï¿½l leak,1
2386,x butbutbuttt replied loads,1
2387,riding daddy bike yes mans bike convenient dark without glasses scared survived haa,0
2388,er upset mom hospital,0
2389, new kirk thats new kirk,1
2390, miss nipissing pits good thing got euphoria barrier cause would never survive summer without pits smoother,1
2391,heyyyyy us english fans want signings,1
2392, love friends drew fun tonight,1
2393,j think although think ignored good day,0
2394, annoying gear ill take hands,0
2395, back hurts heating pad stupid ladder collapse make fall backup,0
2396, third person ask mon afternoon im sorry im helping tutor friend c1c2,1
2397,im going bed night night xxo lys,1
2398,gon na laundrynever laundry hotel miss even though ignore even check,0
2399,www printed new id badge things 4 work n www picture took many n ugly,0
2400,bye people,1
2401,thanks ok hope tweet road,1
2402,michael cut thanks sharing please direct message go bed james know want,1
2403, saw ghosts girlfriends past bf movie predictable funny loved,1
2404, agree guy rock,1
2405,thanks ill cross fingers rain stop,1
2406,awake 4am cant sleep,0
2407,stocked tonight,1
2408,good morning,1
2409,anyone else problem accessing account info store cant buy music cant look account,0
2410,frame damage car could totalled,0
2411,shopping keswick,1
2412, rain go,1
2413,aphia hey hey andrew haha p well happy mothers day mum,1
2414, realized get arrested public disturbance oh well ill take chances,1
2415,wants boo btw love fhnixons posts hilarious,1
2416,yeah right politicians start using uploading pics lots inside stories,1
2417,gh soon much work today trying make 610 train game looking like 45 hour sunday office,0
2418,ur leaving week know dont see u everyday like fact ur city,1
2419, fantastic day amazing girl wish sara didnt go home fb,1
2420,soil guessing bn,1
2421,w okay good youre better,1
2422,breannarose fuuuuuuck id andy get youtu,0
2423,peter bar owner working way 1000 beersall belgian coffin drivers mort suite,1
2424,doesnt look good go burn champions,0
2425, mouth hurts wish could cut head,0
2426,bgcolor haha may wifi thinks new hair short short,1
2427,oh antiboyle didnt work either never much bad thing eh uk eh,0
2428,bloggingits new passion,1
2429,im sorry arent good day cheer though day doesnt define,1
2430, checked got ol ok went live minutes everything fine,1
2431, trailer removed look see find somewhere,1
2432, dream u didnt like,0
2433,yes want meet,1
2434,make sure practice hoping today,1
2435,gh still sick calgary cold lasted forever,0
2436,oh coo suppose intern danger intern life haha,1
2437, 9th,1
2438,seeing friends coursework weekend work happy,1
2439,ha known ashamed,0
2440,im life preserves sorry consolation youre something really special tomorrow,1
2441,california waiting every little things got ta right put adorn essay banda,1
2442,mmmm hair smells guard wonders parties,1
2443,shopping tomorrow think yes,1
2444,yeah sabrinathough keep thinking something else car grant aint hobby either bringing baby,0
2445,far takes moment translate nods quite welcome also dear probably best stay,1
2446,thanks followfriday,1
2447,www told would change suggest try get touch w people ol,1
2448, goes one n marker cheers dave aka jak aka best chest ever,1
2449,lol,1
2450,thanks 0 try,1
2451,college really sincerely hopes gets better soon,1
2452,beer pong dubstep good site,1
2453, uncontrollable cups right hurt,0
2454, stop working someone play,1
2455, im going wind sorry took forever respond realized twitter isnt texting ur updates,0
2456, think,1
2457, go,1
2458,henrik shootout holland please got lot fans,1
2459,watching baby snl baby look greaaaaat,1
2460,fly parody chris moles,1
2461, always brightness week,1
2462,happy mma get see lovely ladies,1
2463,watching look star mom sub ah c,1
2464,oh yah angel came harassed tried break house lol bergen,0
2465,thx 4 follow,1
2466, finished emergency neil stress another great read neil contrast miss way,1
2467, feeling right hope feeling passes stupid stomach,0
2468, cant seem find send please oh tag lol,0
2469,bad times everyone whywhywhy write essays fair,0
2470, think end remembering poetry feeling behind something far important name,1
2471, wish could still drink two bad nights white wine london sick almost week,0
2472,joshthomas coming sydney cool meet id love meet youre favourite comedian,1
2473,happy mothers day moms,1
2474,song glad wondrous blaine mine quiet yet sync season miss,1
2475,adm adm uit,1
2476, dont cr,1
2477,stephen king f ho,1
2478,finally friday still grounded till next thursday stereo life 333,1
2479, tourney til next weekend,1
2480,fly evolution 4th time round,1
2481,hanging weekend,1
2482, joined twitter really dont understand use lol,1
2483,omg patron 1of im jealous cant 10 5 make 15 serious im alabama visiting fam,0
2484, decided cant stand allow spam longer,0
2485, welcome deserve followfriday every day,1
2486,oh man sold step away desk 10 min right,1
2487,app day ms ee ms,1
2488,wow weather amazing today,1
2489, fun like beach tend get really dark fast,1
2490,bahai would really funny would really cut haha,1
2491,really mad forgetting may 24 deadline 40000 mile award trips south america,0
2492, lurveeeeee,1
2493, proud cg took 5 yrs making get number 1 spot night twitter bugstime read sleep,1
2494,hey get present morning hope u liked,1
2495,aimee 26 july underage festival 2 august found others far away,1
2496, want,1
2497, rejected,0
2498,finally school day ended friday friday friday w00t raining outside,1
2499, joke puppy made looks exact like mai shes cute,1
2500, kids awesome today loved face painting,1
2501,almost time say good bye simulations ill miss tweets,0
2502,hey arthur forgot say thanks flag proudly displayed bedroom door witty one,1
2503,downloaded eeecontrol see px today playing settings make fan kick 1500pm 55c 0pm,1
2504,contrast mollis wish could got tickets,1
2505,right army wife germany cant summer,0
2506,oh wanted go sea today sun gh,0
2507, good mix developers content developers providers venture folks,1
2508, done,1
2509, deep fry drumsticks good thought would,0
2510,awesome run report see bald eagle lighthouse hangout last ran discovery park,1
2511,lol thanks babe,1
2512, weather awful want curl read book day,0
2513,lip dont know havent heard lorraine recently,1
2514, going sleep good night everyone,1
2515,anyway hi job,0
2516, laughing got strawberries,1
2517,im cooking meatballs lunch yaaayyy,1
2518, tango icons revision,1
2519, anyone know watch prison break tv movie itunes,1
2520,shes lt wanting sun today apparently lt isnt cooperating,0
2521,sitting bed 2 fall asleep,1
2522,watch jay lens tone last day tonight show host,1
2523,responding questions thou shall blog appreciate community,1
2524, known mother doesnt want take movies,0
2525,learned lesson hard way lost sb stick backup month old,0
2526,michael scholfield dead sorry,0
2527, want go,1
2528, ok drs today got essay done x howe x,1
2529, going forgo pub night wife tonight tough week us neither really plus neighbor died,0
2530, love youuuuu nick wanting thirteen dayssss,1
2531,cant believe venus lost real shame sch think im getting sick week doesnt look like wind gone better,0
2532,sitting home watching monster inlay waiting pizza yum yum,1
2533, hope get job steady income start eating well cheap food horrible,1
2534, sh could bed nine never make 34 sleepdeprived much,1
2535,seriously increasingly good nights stored life couldnt happier goodnight,1
2536,spent night finally relaxing board finishing work needed take small break art really missed,0
2537,im hear ya dude cant either,1
2538,sorry weather hopefully youre 23 hour wx delays wi,0
2539,supernatural good loved,1
2540,sorry bit 0,0
2541,yes going marines protect serve leaving,1
2542,school trip pocket thailand 12 living singapore,1
2543, cereal usually like,1
2544,haha cute ps thanks reply made day haha,1
2545, slept 2am yesterday,1
2546, unpleasant talk laws 2 look 4ward 2,0
2547, ill picking cotton soonneed supplement income,1
2548,im sure people hangover glad know im hangover free hope youre fragile morning,1
2549, tough wanted hug like,0
2550,ohm foot hurting 5 minutes took though,0
2551,lmaz baked nonstop sounds like dummy fun,1
2552, every right feel like crazy fancy jason mra james morrison jealousy tangible,1
2553, guys awesome couple,1
2554, may px love anyway maybe someday become mac,1
2555,well im little bit sick im fine,1
2556,go 1 want go bro switch 1st time wwwdirectgovukstudentfinance,1
2557,working ur crazy sched tiringits got ta hard famous jus u bazillionz fans supporting u,1
2558,hum 1 bill bailey,1
2559, dont know time going fast,0
2560, true clean clothes er good thing enjoy day love new avatar tw,1
2561,see sacked right problem churchsunday race conflicts thats god gave us vr differ,0
2562, going rye house speedway,1
2563,thanks much discount code looking forward trying pads,1
2564,feeling like 16 watching twilight enjoying,1
2565, feel actual heartbreak gates last night x,0
2566,mg jul ast day,1
2567,wedding,1
2568,greece new missed video cool looking sexy,1
2569,momentum works jeff hard time 42nd,0
2570,looks like hiding money offshore bank account behalf last,1
2571, extra justin rutledge ticket mod club tonight,1
2572,happy birthday hope well great birthday day,1
2573, name chad wont tomorrow,1
2574,www typing beyond graveimpressive,1
2575, school absolutely sick want go home writing geography best,0
2576,caught lunch today correct stalking,1
2577, resort wearing today cause havent finished laundry lol,1
2578, could another one back work monday 7 weeks good,0
2579, found 5 minutes ago mama said speech still spurred seems ok,1
2580,sorry hear man cant reach heart goes family,0
2581,suchatease,1
2582,today sucks kisskass19 ï¿½you kate broke ah kate broke itï¿½s awful nd vodka,0
2583,updating dependencies know good thing would better happened asleep,1
2584,argtried one pic moved failed save never showed feet party,1
2585,yeah dad calls total taken ol back 96 added k last name coincidence tal talk,1
2586, dont wan na go back work sleepy time,0
2587, world best place,1
2588,pinkberry,1
2589, jealous,0
2590,almost made reading comedy outlet headlining weekend took 2 extra hours traffic basically doubled time,0
2591,tis cool still stand former proclamation im stubborn way rebellioustwitwhoknowsacoolcatcook lol,1
2592,congratulations sweet,1
2593,oh yeah showcase said artist town keep posted next one,1
2594,huh px 5 2,1
2595,hey thanks follow wow exciting new tweet,1
2596,new picture isnt working,0
2597,im hungry single heading going range soon,0
2598,cool sound luv drama love game doesnt work ur myspace wish good luck logo spain,1
2599,bones gone sleep think gon na join,1
2600, kidding looks incredible lay swim lot stuck cold nyc,1
2601,cant upload picture already hate twitter,0
2602, know im slow horrible el,0
2603,contrast hey,1
2604,lol u better hurry cause running late whats breakfast,1
2605,going thru bills,1
2606, omelette today dim sum tomorrow east,1
2607,thinking getting new dvds csi cant wait get laptop,1
2608, going help lance cook,1
2609,heard grapevine might see around today looking forward meeting,1
2610,digging moustache looking good addio,1
2611,im good thanks good drive careful blackberry dont want getting streamed,1
2612,miya week tried de following x,1
2613,fantastic dea man ill end lonely tourist goes home,1
2614,happy mothers day,1
2615,im getting ready skill cant wait fail bio final yay gh honor classes suckkkk,0
2616,sorry taking twitter icantsleepness,0
2617, miss vlogcandy,0
2618,class almost,1
2619,another day casino de montreal,1
